module,file,variable,action,position
M00,l2phl_M00_passport.dta,round,keep,2
M00,l2phl_M00_passport.dta,hhid,keep,1
M00,l2phl_M00_passport.dta,hhsize,keep,17
M00,l2phl_M00_passport.dta,call_attemp,keep,3
M00,l2phl_M00_passport.dta,call_status1,keep,4
M00,l2phl_M00_passport.dta,correct_resp,keep,5
M00,l2phl_M00_passport.dta,agreement,keep,6
M00,l2phl_M00_passport.dta,refusal_reason,keep,7
M00,l2phl_M00_passport.dta,refusal_reason_oth,keep,8
M00,l2phl_M00_passport.dta,interview_record,keep,9
M00,l2phl_M00_passport.dta,address_unchanged,keep,10
M00,l2phl_M00_passport.dta,new_address_str,keep,11
M00,l2phl_M00_passport.dta,region,keep,12
M00,l2phl_M00_passport.dta,province,keep,13
M00,l2phl_M00_passport.dta,city,keep,14
M00,l2phl_M00_passport.dta,barangay,keep,15
M00,l2phl_M00_passport.dta,locale,keep,16
M00,l2phl_M00_passport.dta,x15,drop,
M00,l2phl_M00_passport.dta,dur_pp,drop,
M00,l2phl_M00_passport.dta,dur_rr,drop,
M00,l2phl_M00_passport.dta,dur_educ,drop,
M00,l2phl_M00_passport.dta,dur_sh,drop,
M00,l2phl_M00_passport.dta,dur_emp,drop,
M00,l2phl_M00_passport.dta,dur_inc,drop,
M00,l2phl_M00_passport.dta,dur_fin,drop,
M00,l2phl_M00_passport.dta,dur_hlt,drop,
M00,l2phl_M00_passport.dta,dur_f_nf,drop,
M00,l2phl_M00_passport.dta,dur_vw,drop,
M00,l2phl_M00_passport.dta,dur_tot,drop,
M00,l2phl_M00_passport.dta,start_date,keep,21
M00,l2phl_M00_passport.dta,end_date,keep,22
M00,l2phl_M00_passport.dta,subm_date,drop,
M00,l2phl_M00_passport.dta,date_str,drop,
M00,l2phl_M00_passport.dta,start_time,keep,23
M00,l2phl_M00_passport.dta,end_time,keep,24
M00,l2phl_M00_passport.dta,subm_time,drop,
M00,l2phl_M00_passport.dta,time_str,drop,
M00,l2phl_M00_passport.dta,int_id,drop,
M00,l2phl_M00_passport.dta,survey_lang,keep,18
M00,l2phl_M00_passport.dta,date_of_interview,keep,19
M00,l2phl_M00_passport.dta,time_of_interview,keep,20
M00,l2phl_M00_passport.dta,call_result,keep,25
M00,l2phl_M00_passport.dta,round_lastint,drop,
M00,l2phl_M00_passport.dta,sample,keep,27
M00,l2phl_M00_passport.dta,excess_int,drop,
M00,l2phl_M00_passport.dta,fmid,keep,26
M00,l2phl_M00_passport.dta,age,drop,
M00,l2phl_M00_passport.dta,gender,drop,
M00,l2phl_M00_passport.dta,age_grp,drop,
M00,l2phl_M00_passport.dta,urban,drop,
M00,l2phl_M00_passport.dta,stratum,drop,
M00,l2phl_M00_passport.dta,psu,drop,
M00,l2phl_M00_passport.dta,popw,drop,
M00,l2phl_M00_passport.dta,hhw,drop,
M01,l2phl_M01_roster.dta,round,keep,2
M01,l2phl_M01_roster.dta,hhid,keep,1
M01,l2phl_M01_roster.dta,fmid,keep,3
M01,l2phl_M01_roster.dta,hhsize,keep,5
M01,l2phl_M01_roster.dta,age,keep,6
M01,l2phl_M01_roster.dta,gender,keep,7
M01,l2phl_M01_roster.dta,isfmid,drop,
M01,l2phl_M01_roster.dta,member_leftreason,keep,9
M01,l2phl_M01_roster.dta,member_leftreason_other,keep,11
M01,l2phl_M01_roster.dta,country_moved,keep,14
M01,l2phl_M01_roster.dta,prov_moved,keep,15
M01,l2phl_M01_roster.dta,city_moved,keep,16
M01,l2phl_M01_roster.dta,relationship,keep,8
M01,l2phl_M01_roster.dta,moved_in_reason,keep,12
M01,l2phl_M01_roster.dta,country_migrated_from,keep,17
M01,l2phl_M01_roster.dta,province_migrated_from,keep,18
M01,l2phl_M01_roster.dta,city_migrated_from,keep,19
M01,l2phl_M01_roster.dta,dur_rr,drop,
M01,l2phl_M01_roster.dta,trailer_tag,drop,
M01,l2phl_M01_roster.dta,moved_in_reason_oth,keep,13
M01,l2phl_M01_roster.dta,member_leftreason_oth,keep,10
M01,l2phl_M01_roster.dta,excess_int,drop,
M01,l2phl_M01_roster.dta,fmidpermanent,keep,4
M01,l2phl_M01_roster.dta,age_grp,drop,
M01,l2phl_M01_roster.dta,region,drop,
M01,l2phl_M01_roster.dta,urban,drop,
