action,reason,path,target
RENAME-DIR,archive-alias,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/zArc,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/_attic
ARCHIVE,superseded-date,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Analysis/do/hf_l2phl_analysis@AP@20260329.do,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Analysis/do/_attic/hf_l2phl_analysis@AP@20260329.do
ARCHIVE,superseded-date,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Analysis/do/hf_l2phl_analysis@AP@20260319.do,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Analysis/do/_attic/hf_l2phl_analysis@AP@20260319.do
ARCHIVE,superseded-date,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Analysis/do/hf_l2phl_analysis@AP@20260322.do,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Analysis/do/_attic/hf_l2phl_analysis@AP@20260322.do
ARCHIVE,superseded-date,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Analysis/do/hf_l2phl_analysis@AP@20260320.do,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Analysis/do/_attic/hf_l2phl_analysis@AP@20260320.do
ARCHIVE,superseded-date,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Analysis/do/hf_l2phl_analysis@AP@20260330.do,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Analysis/do/_attic/hf_l2phl_analysis@AP@20260330.do
ARCHIVE,superseded-date,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Analysis/do/hf_l2phl_analysis@AP@20260119.do,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Analysis/do/_attic/hf_l2phl_analysis@AP@20260119.do
ARCHIVE,non-ap-author,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Analysis/do/hf_l2phl_analysis@Claude@20260520.do,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Analysis/do/_attic/hf_l2phl_analysis@Claude@20260520.do
RENAME-DIR,archive-alias,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Analysis/HF/logs/archive,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Analysis/HF/logs/_attic
RENAME-DIR,archive-alias,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round03/zzz,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round03/_attic
RENAME-DIR,archive-alias,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round03/ado/arch,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round03/ado/_attic
ARCHIVE,prefix-typo-duplicate,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round03/do/L2PH_CATI@R03@AP@20260128.do,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round03/do/_attic/L2PH_CATI@R03@AP@20260128.do
RENAME-DIR,archive-alias,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round04/zzz,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round04/_attic
RENAME-DIR,archive-alias,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round04/ado/arch,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round04/ado/_attic
ARCHIVE,prefix-typo-duplicate,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round04/do/L2PH_CATI@R04@AP@20260228.do,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round04/do/_attic/L2PH_CATI@R04@AP@20260228.do
RENAME-DIR,archive-alias,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round04/fix/do/arch,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round04/fix/do/_attic
RENAME-DIR,archive-alias,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round04/fix/fix_record/arch,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round04/fix/fix_record/_attic
RENAME-DIR,archive-alias,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round05/zzz,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round05/_attic
ARCHIVE,non-ap-author,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round05/do/L2PHL_CATI@R05@Claude@20260329.do,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round05/do/_attic/L2PHL_CATI@R05@Claude@20260329.do
